filename,locality,condition,duration_s,model,reference,hypothesis,hypothesis_roman,wer,cer,entity_hit,entity_fuzzy,latency_s,error
01_koramangala_quiet.wav,Koramangala,quiet-room,5.784,deepgram,haan main koramangala mein rehta hoon,6th Floor pass.,6th Floor pass.,1.0,0.8649,False,False,0.689,
02_indiranagar_street.wav,Indiranagar,street-noise,7.032,deepgram,mera ghar indiranagar ke paas hai,मेरा घर इंदिरा नगर में है hundred feet road के बगल में.,merā ghara iṃdirā nagara meṃ hai hundred feet road ke bagala meṃ.,1.6667,1.1212,False,True,1.719,
03_whitefield_phone.wav,Whitefield,phone-call,6.12,deepgram,sir main whitefield se bol raha hoon,,,1.0,1.0,False,False,0.621,
04_electroniccity_rushed.wav,Electronic City,rushed-speech,7.48,deepgram,electronic city mein kaam karta hoon,,,1.0,1.0,False,False,0.432,
05_marathahalli_hinglish.wav,Marathahalli,code-switched,6.96,deepgram,i live near marathahalli bridge,,,1.0,1.0,False,False,0.434,
06_jayanagar_quiet.wav,Jayanagar,quiet-room,6.936,deepgram,mera address jayanagar fourth block hai,Fourth block quite close to South End Circle.,Fourth block quite close to South End Circle.,1.3333,0.9231,False,False,0.365,
08_hebbal_whispered.wav,Hebbal,whispered,5.48,deepgram,hebbal flyover ke paas rehta hoon,,,1.0,1.0,False,False,0.984,
10_banashankari_quiet.wav,Banashankari,quiet-room,6.912,deepgram,haan banashankari second stage mein hoon,"वनशंकरी third stage में रहता हूं, bus stand के पास.","vanaśaṃkarī third stage meṃ rahatā hūṃ, bus stand ke pāsa.",1.6667,1.0,False,True,2.828,
11_hsrlayout_street.wav,HSR Layout,street-noise,7.12,deepgram,hsr layout sector two mein rehta hoon,,,1.0,1.0,False,False,0.348,
13_majestic_hinglish.wav,Majestic,code-switched,6.84,deepgram,majestic bus stand ke paas hoon bhai,,,1.0,1.0,False,False,0.67,
14_silkboard_phone.wav,Silk Board,phone-call,6.52,deepgram,silk board junction ke paas mera ghar hai,,,1.0,1.0,False,False,0.521,
15_bellandur_noise.wav,Bellandur,background-noise,8.2,deepgram,bellandur ke paas ek room liya hai,,,1.0,1.0,False,False,0.743,
16_sarjapur_quiet.wav,Sarjapur,quiet-room,5.92,deepgram,sarjapur road pe rehta hoon,,,1.0,1.0,False,False,2.373,
17_bommanahalli_rushed.wav,Bommanahalli,rushed-speech,4.32,deepgram,bommanahalli mein hoon abhi,,,1.0,1.0,False,False,0.261,
20_yeshwanthpur_quiet.wav,Yeshwanthpur,quiet-room,7.104,deepgram,yeshwanthpur railway station ke paas,"यशवंतपुर में रहता हूं, circle के पास.","yaśavaṃtapura meṃ rahatā hūṃ, circle ke pāsa.",1.2,0.6944,False,False,1.178,
22_kadugondanahalli_phone.wav,Kadugondanahalli,phone-call,9.8,deepgram,kadugondanahalli mein mera purana ghar tha,,,1.0,1.0,False,False,0.327,
25_rajarajeshwarinagar_hinglish.wav,Rajarajeshwarinagar,code-switched,7.2,deepgram,i stay in rajarajeshwarinagar near rr nagar metro,,,1.0,1.0,False,False,0.481,
26_kothanurdinne_rushed.wav,Kothanur Dinne,rushed-speech,5.24,deepgram,kothanur dinne area mein hoon,,,1.0,1.0,False,False,0.363,
27_thanisandra_phone.wav,Thanisandra,phone-call,14.25,deepgram,thanisandra main road pe,सनी चंद्रा में हूं कन्नूर के पास यहां से mute करता हूं.,sanī caṃdrā meṃ hūṃ kannūra ke pāsa yahāṃ se mute karatā hūṃ.,3.0,1.9167,False,False,1.664,
30_thalaghattapura_hinglish.wav,Thalaghattapura,code-switched,7.28,deepgram,thalaghattapura near kengeri hoon main,,,1.0,1.0,False,False,0.324,
01_koramangala_quiet.wav,Koramangala,quiet-room,5.784,whisper,haan main koramangala mein rehta hoon,कि हमारी में कोर मंगला में रहता हूं और सिक्स फ्लोर के पास अ कर दो कर दो कर दो कर दो कर दो,ki hamārī meṃ kora maṃgalā meṃ rahatā hūṃ aura siksa phlora ke pāsa a kara do kara do kara do kara do kara do,3.0,2.2432,False,True,6.806,
02_indiranagar_street.wav,Indiranagar,street-noise,7.032,whisper,mera ghar indiranagar ke paas hai,"मेरा घर इंद्रा नगर में है, 100 feet road के बागल में","merā ghara iṃdrā nagara meṃ hai, 100 feet road ke bāgala meṃ",1.6667,1.0303,False,True,2.801,
03_whitefield_phone.wav,Whitefield,phone-call,6.12,whisper,sir main whitefield se bol raha hoon,"मैं वाइट फिल्ड से कार्ल कर रहा हूँ, यहाँ सिग्नल थोड़ा भीक है।","maiṃ vāiṭa philḍa se kārla kara rahā hū~, yahā~ signala thor̤ā bhīka hai|",1.5714,1.3889,False,False,4.326,
04_electroniccity_rushed.wav,Electronic City,rushed-speech,7.48,whisper,electronic city mein kaam karta hoon,कि एलेक्ट्रोनिक सिटी फेस वन में काम करता हूं वहां से आना पड़ेगा इन्हें रखो इसी पर,ki elekṭronika siṭī phesa vana meṃ kāma karatā hūṃ vahāṃ se ānā par̤egā inheṃ rakho isī para,2.8333,1.8056,False,True,4.222,
05_marathahalli_hinglish.wav,Marathahalli,code-switched,6.96,whisper,i live near marathahalli bridge,I stay in Maratha Halli only near the bridge you know that area,I stay in Maratha Halli only near the bridge you know that area,2.0,1.3548,True,True,2.029,
06_jayanagar_quiet.wav,Jayanagar,quiet-room,6.936,whisper,mera address jayanagar fourth block hai,"जय नगर फोर्थ ब्लॉक में रहता हूँ, quite close to South End Circle","jaya nagara phortha blaॉka meṃ rahatā hū~, quite close to South End Circle",2.1667,1.359,True,True,2.893,
08_hebbal_whispered.wav,Hebbal,whispered,5.48,whisper,hebbal flyover ke paas rehta hoon,हेबल फ्लायोर के पास रहता हूँ आउटरिंग रोड पे,hebala phlāyora ke pāsa rahatā hū~ āuṭariṃga roḍa pe,1.3333,0.9091,True,True,3.592,
10_banashankari_quiet.wav,Banashankari,quiet-room,6.912,whisper,haan banashankari second stage mein hoon,बन्शंकरी तर्ड स्टेज में रहता हूँ बस्टांड के पास,banśaṃkarī tarḍa sṭeja meṃ rahatā hū~ basṭāṃḍa ke pāsa,1.5,1.0,False,True,3.249,
11_hsrlayout_street.wav,HSR Layout,street-noise,7.12,whisper,hsr layout sector two mein rehta hoon,एचसार अलेवेगर को सिक्टर टू ऑफिस भी गई है,ecasāra alevegara ko sikṭara ṭū ऑphisa bhī gaī hai,1.2857,0.9189,False,False,3.005,
13_majestic_hinglish.wav,Majestic,code-switched,6.84,whisper,majestic bus stand ke paas hoon bhai,مجیسٹک ایریا میں ہوں نیر کیمپا وڑا بستان,مجیسٹک ایریا میں ہوں نیر کیمپا وڑا بستان,1.0,1.0,False,False,2.498,
14_silkboard_phone.wav,Silk Board,phone-call,6.52,whisper,silk board junction ke paas mera ghar hai,और सिल्क बोर्ड जंक्शन के पास रहता है ट्राफिक बहुत होता है यहां,aura silka borḍa jaṃkśana ke pāsa rahatā hai ṭrāphika bahuta hotā hai yahāṃ,1.375,1.1707,True,True,4.074,
15_bellandur_noise.wav,Bellandur,background-noise,8.2,whisper,bellandur ke paas ek room liya hai,ಬೆಲಂದೂರ್ ಮೇಹು ಆವ್ಟರಿಂಗ್ ರೋಡ್ಪೆ ನಿಯರ್ದ ಲೇಟ್ ಸಾಇಡ್,ಬೆಲಂದೂರ್ ಮೇಹು ಆವ್ಟರಿಂಗ್ ರೋಡ್ಪೆ ನಿಯರ್ದ ಲೇಟ್ ಸಾಇಡ್,1.0,1.0,False,False,4.041,
16_sarjapur_quiet.wav,Sarjapur,quiet-room,5.92,whisper,sarjapur road pe rehta hoon,कि सहरजपुर रोड पर रहता हूं कारमेलरम के पास अ,ki saharajapura roḍa para rahatā hūṃ kāramelarama ke pāsa a,2.0,1.4444,True,True,3.043,
17_bommanahalli_rushed.wav,Bommanahalli,rushed-speech,4.32,whisper,bommanahalli mein hoon abhi,कि बोमनली में हूं लेवीएच लेविट के पास अ,ki bomanalī meṃ hūṃ levīeca leviṭa ke pāsa a,2.25,1.1852,False,False,2.943,
20_yeshwanthpur_quiet.wav,Yeshwanthpur,quiet-room,7.104,whisper,yeshwanthpur railway station ke paas,ये स्वंतपूर में रहता हूँ सर्कल के पास,ye svaṃtapūra meṃ rahatā hū~ sarkala ke pāsa,1.4,0.6667,False,False,3.224,
22_kadugondanahalli_phone.wav,Kadugondanahalli,phone-call,9.8,whisper,kadugondanahalli mein mera purana ghar tha,കഡുകുണ്ടന് ഹല്ലീ മേ രേതാം് കേജ്ജ് ഹല്ലീ മേ ടോകേ ബാസ്,കഡുകുണ്ടന് ഹല്ലീ മേ രേതാം് കേജ്ജ് ഹല്ലീ മേ ടോകേ ബാസ്,1.0,1.0,False,False,5.342,
25_rajarajeshwarinagar_hinglish.wav,Rajarajeshwarinagar,code-switched,7.2,whisper,i stay in rajarajeshwarinagar near rr nagar metro,आरार नगर में हूँ राजराजेश्वरी नगर यू नो नियर नाइस रोड,ārāra nagara meṃ hū~ rājarājeśvarī nagara yū no niyara nāisa roḍa,1.375,0.7551,True,True,3.61,
26_kothanurdinne_rushed.wav,Kothanur Dinne,rushed-speech,5.24,whisper,kothanur dinne area mein hoon,"कुछ नोटेने में रहता हूँ, मन्यरगटा रोट के आगे","kucha noṭene meṃ rahatā hū~, manyaragaṭā roṭa ke āge",1.8,1.3103,False,False,3.484,
27_thanisandra_phone.wav,Thanisandra,phone-call,14.25,whisper,thanisandra main road pe,कि पानी संद्रा में हूं कानूर के पास यहां से आपको यूट करता हूं हुआ है,ki pānī saṃdrā meṃ hūṃ kānūra ke pāsa yahāṃ se āpako yūṭa karatā hūṃ huā hai,3.0,2.5417,False,True,20.789,
30_thalaghattapura_hinglish.wav,Thalaghattapura,code-switched,7.28,whisper,thalaghattapura near kengeri hoon main,कि तालगट्टपुरा में हूं साउथ बैंगलोर नाइस रोड के बास अ झाल,ki tālagaṭṭapurā meṃ hūṃ sāutha baiṃgalora nāisa roḍa ke bāsa a jhāla,2.4,1.2368,True,True,4.663,
01_koramangala_quiet.wav,Koramangala,quiet-room,5.784,faster_whisper,haan main koramangala mein rehta hoon,हां भाई मैं कोरमंगला में रहता हूं सिक्स फ्लोर के पास,hāṃ bhāī maiṃ koramaṃgalā meṃ rahatā hūṃ siksa phlora ke pāsa,1.8333,0.8919,True,True,3.396,
02_indiranagar_street.wav,Indiranagar,street-noise,7.032,faster_whisper,mera ghar indiranagar ke paas hai,मेरा घर इंद्रा नागर में है अंड्रेट फीट रोड के बागल में,merā ghara iṃdrā nāgara meṃ hai aṃḍreṭa phīṭa roḍa ke bāgala meṃ,1.6667,1.1515,False,True,1.818,
03_whitefield_phone.wav,Whitefield,phone-call,6.12,faster_whisper,sir main whitefield se bol raha hoon,"मैं वाइट फिल्ड से काल कर रहा हूँ, यहाँ सिग्नल थोड़ा भीक है।","maiṃ vāiṭa philḍa se kāla kara rahā hū~, yahā~ signala thor̤ā bhīka hai|",1.5714,1.3611,False,False,1.912,
04_electroniccity_rushed.wav,Electronic City,rushed-speech,7.48,faster_whisper,electronic city mein kaam karta hoon,कि अ इलेक्ट्रोनिक सिटी फेस वन में काम करता हूं वहां से आना पड़ेगा उन्हें रब्बा प्रेसिड रुक रहे हैं  अजय को,ki a ilekṭronika siṭī phesa vana meṃ kāma karatā hūṃ vahāṃ se ānā par̤egā unheṃ rabbā presiḍa ruka rahe haiṃ  ajaya ko,3.0,2.5278,False,False,2.797,
05_marathahalli_hinglish.wav,Marathahalli,code-switched,6.96,faster_whisper,i live near marathahalli bridge,I stay in Maratha Halli only near the bridge. You know that area?,I stay in Maratha Halli only near the bridge. You know that area?,2.0,1.3548,True,True,1.34,
06_jayanagar_quiet.wav,Jayanagar,quiet-room,6.936,faster_whisper,mera address jayanagar fourth block hai,जैनगर फोर्थ ब्लॉक में रहता हूँ  quite close to south end circle,jainagara phortha blaॉka meṃ rahatā hū~  quite close to south end circle,2.0,1.3077,False,True,1.817,
08_hebbal_whispered.wav,Hebbal,whispered,5.48,faster_whisper,hebbal flyover ke paas rehta hoon,हेबल फ्लायोर के पास रहता हूँ आउटरिंग रोट पे,hebala phlāyora ke pāsa rahatā hū~ āuṭariṃga roṭa pe,1.3333,0.9091,True,True,1.796,
10_banashankari_quiet.wav,Banashankari,quiet-room,6.912,faster_whisper,haan banashankari second stage mein hoon,बन्शंकरी तर्ड स्टेज में रहता हूँ बस्टांड के पास,banśaṃkarī tarḍa sṭeja meṃ rahatā hū~ basṭāṃḍa ke pāsa,1.5,1.0,False,True,1.772,
11_hsrlayout_street.wav,HSR Layout,street-noise,7.12,faster_whisper,hsr layout sector two mein rehta hoon,हेचेसार रेओप्लेयर को सिक्टर टू ओफिस भी गई है।,hecesāra reopleyara ko sikṭara ṭū ophisa bhī gaī hai|,1.2857,0.973,False,False,1.731,
13_majestic_hinglish.wav,Majestic,code-switched,6.84,faster_whisper,majestic bus stand ke paas hoon bhai,مجیسٹک ایریا میں ہوں  نیر کیمپا وڑا بستان,مجیسٹک ایریا میں ہوں  نیر کیمپا وڑا بستان,1.0,1.0,False,False,1.441,
14_silkboard_phone.wav,Silk Board,phone-call,6.52,faster_whisper,silk board junction ke paas mera ghar hai,"सिल्क बोर्ड जंक्शन के पास रहता है, ट्राफिक बहुत होता है यहाँ","silka borḍa jaṃkśana ke pāsa rahatā hai, ṭrāphika bahuta hotā hai yahā~",1.25,1.0244,True,True,1.959,
15_bellandur_noise.wav,Bellandur,background-noise,8.2,faster_whisper,bellandur ke paas ek room liya hai,బేలందూర్ మేహు ఆవ్టరింగ్ రోడ్ పే నీర్ దే లేట్ సైట్,బేలందూర్ మేహు ఆవ్టరింగ్ రోడ్ పే నీర్ దే లేట్ సైట్,1.0,1.0,False,False,2.46,
16_sarjapur_quiet.wav,Sarjapur,quiet-room,5.92,faster_whisper,sarjapur road pe rehta hoon,सहरजपूर रोड पे रहता हूँ कारमेलरम के पास,saharajapūra roḍa pe rahatā hū~ kāramelarama ke pāsa,1.4,1.1111,True,True,1.773,
17_bommanahalli_rushed.wav,Bommanahalli,rushed-speech,4.32,faster_whisper,bommanahalli mein hoon abhi,මොමන්නමන් විටික් ලෙකි අපි කරුණාක් තානයෙන් ඇත.,මොමන්නමන් විටික් ලෙකි අපි කරුණාක් තානයෙන් ඇත.,1.0,1.0,False,False,14.203,
20_yeshwanthpur_quiet.wav,Yeshwanthpur,quiet-room,7.104,faster_whisper,yeshwanthpur railway station ke paas,"ये स्वंतपूर में रहता हूँ, सरकल के पास।","ye svaṃtapūra meṃ rahatā hū~, sarakala ke pāsa|",1.4,0.6667,False,False,1.636,
22_kadugondanahalli_phone.wav,Kadugondanahalli,phone-call,9.8,faster_whisper,kadugondanahalli mein mera purana ghar tha,കഡുകുണ്ടന്ന്ന് കേജ്ജി അല്ലീ മേട്രോക്കേ ബാസ്,കഡുകുണ്ടന്ന്ന് കേജ്ജി അല്ലീ മേട്രോക്കേ ബാസ്,1.0,1.0,False,False,2.557,
25_rajarajeshwarinagar_hinglish.wav,Rajarajeshwarinagar,code-switched,7.2,faster_whisper,i stay in rajarajeshwarinagar near rr nagar metro,आरार नगर में हूँ राजराजेश्वरी नगर यू नो नियर नाइस रोड,ārāra nagara meṃ hū~ rājarājeśvarī nagara yū no niyara nāisa roḍa,1.375,0.7551,True,True,1.981,
26_kothanurdinne_rushed.wav,Kothanur Dinne,rushed-speech,5.24,faster_whisper,kothanur dinne area mein hoon,कोतनो डिने में रहता हूँ  मन्यरगटा रोट के आगे,kotano ḍine meṃ rahatā hū~  manyaragaṭā roṭa ke āge,1.8,1.1724,False,True,1.705,
27_thanisandra_phone.wav,Thanisandra,phone-call,14.25,faster_whisper,thanisandra main road pe,"सानी संद्रा में हूँ, कनूर के पास यहां से कम्यूट करता हूँ.","sānī saṃdrā meṃ hū~, kanūra ke pāsa yahāṃ se kamyūṭa karatā hū~.",3.0,1.9167,False,True,1.845,
30_thalaghattapura_hinglish.wav,Thalaghattapura,code-switched,7.28,faster_whisper,thalaghattapura near kengeri hoon main,ताला गट्टपुरा में हूं साऊथ बांगलोर नाईस रोड के पास,tālā gaṭṭapurā meṃ hūṃ sāūtha bāṃgalora nāīsa roḍa ke pāsa,2.0,0.9474,True,True,1.887,
